ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species,pident,evalue,HexColor
ASV_4296,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida quercitrusa,99.349,2.74E-157,#F2CECE
ASV_4297,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida albicans,99.628,6.68E-138,#F0C3C3
ASV_4298,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium sp,100,5.00E-06,#ADDADA
ASV_4299,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida sake,97.744,2.68E-127,#F2CECE
ASV_4300,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,Botrytis cinerea,99.638,8.83E-142,#ADDADA
ASV_4301,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Bettsia,Bettsia alvei,99.595,1.22E-125,#8AAFAF
ASV_4302,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium sp,100,1.08E-07,#9D7051
ASV_4303,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Monocillium,Monocillium loricatum,99.286,2.56E-142,#ADDADA
ASV_4304,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida parapsilosis,99.642,1.92E-143,#F2CECE
ASV_4305,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Clavispora,Clavispora lusitaniae,99.578,4.96E-120,#F2CECE
ASV_4306,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia orientalis,99.273,1.52E-139,#F2CECE
ASV_4307,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Meyerozyma,Meyerozyma guilliermondii,99.329,2.63E-152,#F2CECE
ASV_4309,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida albicans,99.257,3.11E-136,#F0C3C3
ASV_4310,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida orthopsilosis,99.632,1.45E-139,#F0C3C3
ASV_4311,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus,98.095,1.66E-154,#64A363
ASV_4312,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia sp,98.195,4.25E-135,#C09C9C
ASV_4313,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia orientalis,98.182,1.53E-134,#F2CECE
ASV_4314,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,99.799,0,#756EAC
ASV_4315,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi sp,99.691,2.17E-168,#A6A6A6
ASV_4316,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,unidentified,unidentified,Saccharomycetales sp,98.872,7.39E-133,#F2CECE
ASV_4317,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida sake,99.623,1.23E-135,#F2CECE
ASV_4318,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Diutina,Diutina mesorugosa,97.531,5.05E-115,#F2CECE
ASV_4319,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida sake,98.864,9.60E-132,#F2CECE
ASV_4320,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida melibiosica,89.494,1.85E-84,#F0C3C3
ASV_4321,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia sp,99.706,2.92E-177,#AC6D6D
ASV_4322,Fungi,Basidiomycota,Ustilaginomycetes,Urocystidales,Glomosporiaceae,Thecaphora,Thecaphora solani,82.155,3.73E-61,#CFA283
ASV_4323,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium sp,100,6.80E-10,#9D7051
ASV_4324,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Diutina,Diutina mesorugosa,98.723,3.90E-116,#F2CECE
