SampleID,qPCR18S
FMT.0063C,381446.55067740293
1758C,384577.48170882935
972D,385063.4292484254
FMT.0250M,386498.1308803763
1705N,387392.793091588
FMT.0098S,405705.9908
FMT.0035L,409120.0399055755
1705M,418522.796902852
FMT.0050K,436529.7833935018
1816H,436754.52769886365
1705K,438629.77056393673
1705H,438912.06668374315
972L,442598.0685763889
FMT.0238E,448618.5928399417
1773J,450034.37992902205
FMT.0061F,455780.62557324424
1690C,479477.1832606589
FMT.0063M,479526.9549334491
FMT.0010B,480315.36865234375
1823N,490729.26102053135
1644C,498544.68113612005
FMT.0050M,503238.5641431051
1705O,512954.1170634922
1773C,517758.2152276976
FMT.0061G,528918.696384804
1720C,531257.5805
FMT.0244K,551157.2424
FMT.0035G,559255.9455422794
1822A,560312.5986426767
1713O,576883.0078125
1773E,578348.2967909946
FMT.0035F,589427.3518041237
1773N,592291.6427
1798K,596832.7562736742
FMT.0063AAA,597195.234375
1802B,609553.1740497513
1657E,611387.2228956228
1720J,612007.3332609953
FMT.0061AA,615649.9516198395
1716C,624760.3055132114
1686E,660768.4938177507
1671E,671341.975
FMT.0250G,672827.0923
1789K,674659.2881944445
1691G,677095.8719135802
FMT.0063E,679361.1883533426
1786D,14919429.0
1814L,703400.5346053685
FMT.0249E,730383.6398654514
FMT.0061T,742951.7692225085
1734Q,744076.5042
1758G,749876.274496822
1824G,755701.1425893886
1720F,768490.7881079478
FMT.0098U,780556.0613
FMT.0239G,783836.833200637
1700C,786096.8940682415
972G,799280.4351742663
1796B,801651.7802753411
1789G,802162.8209786823
FMT.0248A,805438.0814
1826B,811277.004076087
1642P,813532.8767407163
1192UU,822276.6503
FMT.0020E,823278.5560344828
1644A,829091.8973921221
1695A,841000.0
FMT.0063XX,854430.4380458514
FMT.0020D,884554.3708975456
1687C,898402.069836128
1705R,911584.3749
1816I,912139.6336410985
1656B,915290.7673860912
1824G,925793.4823745674
FMT.0061A,929948.9260335917
FMT.0061D,936862.2688972512
MSK18,947058.870926155
1687E,957327.2639448924
FMT.0063NN,975153.8920606304
1766A,978775.0410903346
1786E,727032.44
1721E,1005548.17
1760B,1014779.8374720982
1818M,1034386.1728984716
1798B,1084491.1176063519
1700I,1100982.418755981
1721C,1102228.024
FMT.0063CCC,1123289.8262219552
1700A,1139666.6259765625
1711E,1142515.119429182
1814N,1143418.674424534
1791B,1149332.6604446308
1751V,1153983.9725842697
FMT.0249D,1173498.9016777987
1818B,1180755.4345640284
1823O,1181720.3187751006
1757C,1193382.322326187
1802O,1207786.849
1818L,1230927.7860449734
1776M,1245465.4160366263
1822F,1260644.505415013
1773K,1267649.0885416667
1785G,1285734.791
FMT.0250E,1295463.031
1658K,1308068.365497649
MSK10,1324041.6061046512
FMT.0061U,1329537.6669657095
FMT.0098R,1330709.327
1809I,1331912.8856899901
1658G,1334112.9032258063
FMT.0061C,1359800.134202454
1760M,1371053.0598958333
1772E,1389223.2983732878
1684A,1395424.4171626985
FMT.0063F,1404514.415372288
FMT.0244J,1418126.4721410004
1720L,1437286.6125274121
1687B,1446712.2395833333
1809L,1451935.57863313
FMT.0218E,1460025.78
FMT.0126TT,1477621.483032646
1711G,1494705.757472826
1192TT,1505070.219
1766O,1512809.0971631706
FMT.0250L,1530283.8453089572
1772A,1538076.4130015434
1686K,1549763.612689394
1665C,1594374.5866402118
1720K,1622481.4510233917
1801E,1633652.3854834402
FMT.0238D,1646932.4477215977
1398M,1652870.198787062
1776B,1672613.563
FMT.0028O,1702387.3967578895
1789J,1725489.3092105263
FMT.0248C,1751535.947
FMT.0244F,1784560.0620567377
1777I,1797796.9363776653
FMT.0244R,1833747.083875868
972R,1867337.9112929895
1798I,1873414.7818327504
1796E,1874085.1350532945
FMT.0061B,1907759.8766321044
1776F,1946678.3048265576
1818H,1955245.645721326
1789I,1958337.4732905983
1776A,1970391.907
FMT.0243C,1989884.136
1720H,2001595.5018939397
1801C,2114424.206997229
1642A,2160462.7479534005
FMT.0241D,2195663.2594530107
1736A,2201810.292682927
1706A,2211002.363
1713M,2247811.8699596776
698K,2277802.8330176766
1798H,2294720.8349815407
1776H,2317508.056
1824A,2327845.7637483133
1656D,2328096.426215645
